type, value, quantity, info,
capacitor, 47pf, 2, 5% ceramic,
capacitor, 1nf, 1, 63v polyester,
capacitor, 22nf, 1, 63v polyester,
capacitor, 100nf, 5, 5% ceramic,
capacitor, 10uf, 2, 50v electrolytic,
connector, 8-pin, 2, ic socket,
connector, 14-pin, 2, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
connector, 4-pin pcb interconnect header, 1, needed if upper board,
connector, 4-pin pcb interconnect socket, 1, needed if lower board,
diode, 1n4148, 4,,
diode, 5.6v zener, 1, 5% 500mw,
chip, rc4558, 1, dual opamp,
chip, lf353, 1, dual jfet opamp,
chip, lm3900, 1, quad norton amp,
inductor, 0.45uh, 2, 7A ferrite bead,
chip, that340P14, 1, matched bipolar transistor array,
resistor, 100r, 1, 1% 0.5w metal film,
resistor, 330r, 1, 1% 0.5w metal film,
resistor, 1k0, 2, 1% 0.5w metal film,
resistor, 1k5, 1, 1% 0.5w metal film,
resistor, 2k2, 3, 1% 0.5w metal film,
resistor, 8k2, 1, 1% 0.5w metal film,
resistor, 33k, 3, 1% 0.5w metal film,
resistor, 47k, 2, 1% 0.5w metal film,
resistor, 68k, 1, 1% 0.5w metal film,
resistor, 82k, 3, 1% 0.5w metal film,
resistor, 100k, 6, 1% 0.5w metal film,
resistor, 150k, 1, 1% 0.5w metal film,
resistor, 220k, 4, 1% 0.5w metal film,
resistor, 330k, 1, 1% 0.5w metal film,
resistor, 360k, 1, 1% 0.5w metal film,
resistor, 470k, 1, 1% 0.5w metal film,
resistor, 820k, 3, 1% 0.5w metal film,
resistor, 1m0, 4, 1% 0.5w metal film,
resistor, 10m, 2, 5% 0.5w metal film,
transistor, 2n3904, 1, npn transistor,
transistor, 2n3906, 1, pnp transistor,
trimpot, 100k, 1, 20tv cermet,
trimpot, 200k, 1, 25tv cermet,
socket, white banana socket, 1,,
socket, yellow banana socket, 1,,
socket, blue banana socket, 2,,
socket, green banana socket, 1,,
socket, black banana socket, 1,,
socket, red banana socket, 1,,
led, yellow led, 1,,
led, led lense, 1,,
potentiometer, 50k linear, 3,,
switch, spdt on-off-on,1,,
