type, value, quantity, info,
capacitor, 47pf, 4, 5% ceramic,
capacitor, 100nf, 4, 5% ceramic,
capacitor, 100nf, 3, 63v polyester,
capacitor, 10uf, 2, 50v electrolytic,
connector, 8-pin, 3, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
chip, tl072, 2, dual jfet opamp,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, 220r, 2, 1% 0.5w metal film,
resistor, 330r, 1, 1% 0.5w metal film,
resistor, 47k, 2, 1% 0.5w metal film,
resistor, 100k, 12, 1% 0.5w metal film,
resistor, 130k, 2, 1% 0.5w metal film,
resistor, 220k, 1, 1% 0.5w metal film,
resistor, 360k, 1, 1% 0.5w metal film,
resistor, 1m0, 1, 1% 0.5w metal film,
transistor, bc558b, 1, pnp transistor,
transistor, bc548b, 3, npn transistor matched set,
transistor, ls312, 1, dual matched npn transistors,
trimpot, 5k, 1, 25tv cermet,
trimpot, 100k, 2, 20tv cermet,
socket, white banana socket, 1,,
socket, blue banana socket, 1,,
socket, black banana socket, 1,,
potentiometer, 100k log, 1,,
potentiometer, 100k linear, 1,,
