type, value, quantity, info,
capacitor, 47pf, 1, 5% ceramic,
capacitor, 1n5f, 1, 63v polyester,
capacitor, 10nf, 1, 63v polyester,
capacitor, 100nf, 10, 5% ceramic,
capacitor, 10uf, 3, 50v electrolytic,
connector, 8-pin, 4, ic socket,
connector, 14-pin, 2, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
diode, 1n4148, 9,,
chip, lm358, 2, dual opamp,
chip, tl072, 2, dual jfet opamp,
inductor, 0.45uh, 2, 7A ferrite bead,
chip, cd4024, 1, 7-stage binary counter,
chip, cd40106, 1, hex schmitt trigger,
resistor, 10r, 2, 1% 0.5w metal film,
resistor, 1k0, 7, 1% 0.5w metal film,
resistor, 2k2, 1, 1% 0.5w metal film,
resistor, 6k8, 2, 1% 0.5w metal film,
resistor, 10k, 12, 1% 0.5w metal film,
resistor, 47k, 1, 1% 0.5w metal film,
resistor, 100k, 18, 1% 0.5w metal film,
resistor, 200k, 8, 1% 0.5w metal film,
resistor, 220k, 1, 1% 0.5w metal film,
resistor, 1m0, 1, 1% 0.5w metal film,
transistor, bc547b, 2, npn transistor,
trimpot, 2k, 1, 1tv triangle footprint,
trimpot, 47k, 1, 1tv triangle footprint,
socket, white banana socket, 2,,
socket, yellow banana socket, 1,,
socket, blue banana socket, 2,,
socket, green banana socket, 2,,
socket, black banana socket, 1,,
socket, red banana socket, 1,,
led, red led, 1,,
led, led lense, 1,,
potentiometer, 10k linear, 1,,
potentiometer, 20k linear, 1,,
potentiometer, 100k linear, 1,,
