type, value, quantity, info,
capacitor, 18pf, 1, 5% ceramic,
capacitor, 68pf, 1, 5% ceramic,
capacitor, 82pf, 2, 5% ceramic,
capacitor, 100pf, 3, 5% ceramic,
capacitor, 220pf, 1, 5% ceramic,
capacitor, 330pf, 1, 5% ceramic,
capacitor, 2n2f, 1, 5% polystyrene,
capacitor, 4n7, 1, 63v polyester,
capacitor, 100nf, 2, 5% ceramic,
capacitor, 100nf, 3, ceramic X7R,
capacitor, 4u7f, 2, 50v electrolytic,
capacitor, 10uf, 2, 50v electrolytic,
capacitor, 47uf, 1, electrolytic,
connector, 8-pin, 6, ic socket,
connector, 14-pin, 1, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
diode, 1n4148, 13,,
diode, lm329, 2, 6.9v precision zener,
chip, lm3900, 1, quad norton amp,
chip, lm311, 1, comparator,
chip, tl072, 3, dual jfet opamp,
chip, ca3140, 1, opamp,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, pt146 1k 3500ppm, 1, tempco resistor,
resistor, 62r, 1, 1% 0.25w metal film 15ppm,
resistor, 330r, 5, 1% 0.5w metal film,
resistor, 680r, 1, 1% 0.5w metal film,
resistor, 820r, 1, 1% 0.5w metal film,
resistor, 1k0, 2, 1% 0.5w metal film,
resistor, 1k5, 3, 1% 0.5w metal film,
resistor, 2k1, 1, 1% 0.5w metal film,
resistor, 2k2, 3, 1% 0.5w metal film,
resistor, 3k3, 1, 1% 0.5w metal film,
resistor, 3k9, 1, 1% 0.5w metal film,
resistor, 10k, 6, 1% 0.5w metal film,
resistor, 15k, 2, 1% 0.5w metal film,
resistor, 22k, 1, 1% 0.5w metal film,
resistor, 33k, 2, 1% 0.5w metal film,
resistor, 47k, 3, 1% 0.5w metal film,
resistor, 56k, 1, 1% 0.5w metal film,
resistor, 91k, 1, 1% 0.5w metal film,
resistor, 100k, 19, 1% 0.5w metal film,
resistor, 180k, 1, 1% 0.5w metal film,
resistor, 300k, 1, 1% 0.5w metal film,
resistor, 330k, 2, 1% 0.5w metal film,
resistor, 510k, 1, 1% 0.5w metal film,
resistor, 680k, 1, 1% 0.5w metal film,
resistor, 1m0, 3, 1% 0.5w metal film,
resistor, 1m5, 3, 1% 0.5w metal film,
resistor, 4m7, 1, 1% 0.5w metal film,
resistor, 10m, 1, 5% 0.5w metal film,
resistor, 22m, 1, 5% 0.25w metal glazed,
transistor, ls312, 1, dual matched npn transistors,
transistor, 2n3904, 1, npn transistor,
transistor, j112, 1, jfet,subbing for j108
trimpot, 10k, 1, 25tv cermet,
trimpot, 20k, 3, 25tv cermet,
trimpot, 100k, 4, 20tv cermet,
socket, white banana socket, 5,,
socket, blue banana socket, 5,,
socket, black banana socket, 1,,
socket, red banana socket, 1,,
potentiometer, 20k linear, 2,,
potentiometer, 100k linear, 2,,
