type, value, quantity, info,
capacitor, 47pf, 4, 5% ceramic,
capacitor, 100nf, 4, 5% ceramic,
capacitor, 10uf, 2, 50v electrolytic,
connector, 8-pin, 2, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
diode, bat48, 4, schottky diode,
chip, tl072, 2, dual jfet opamp,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, 330r, 4, 1% 0.5w metal film,
resistor, 100k, 12, 1% 0.5w metal film,
resistor, 220k, 2, 1% 0.5w metal film,
socket, blue banana socket, 6,,
socket, green banana socket, 2,,
potentiometer, 20k linear, 8,,
hardware, serge 1900h knob, 8,,
