type, value, quantity, info,
capacitor, 10pf, 1, 5% ceramic,
capacitor, 22pf, 1, 10% ceramic,
capacitor, 1nf, 2, 5% ceramic,C0G?,
capacitor, 2n2f, 1, 63v polyester,,
capacitor, 10nf, 1, 5% ceramic,medium k?,
capacitor, 10nf, 4, 63v polyester,
capacitor, 100nf, 1, 63v polyester,
capacitor, 100nf, 1, 5% ceramic,
capacitor, 1uf, 2, 50v electrolytic,
capacitor, 10uf, 2, 50v electrolytic,
capacitor, 47uf, 3, 50v electrolytic,
connector, 14-pin, 2, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
connector, 8-pin, 1, ic socket,
diode, 1n4148, 2,,
chip, lm3900, 1, quad norton amp,
chip, ca3130, 1, opamp,
chip, cd4007, 1, dual complimentary pair plus inverter, ,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, 330r, 1, 1% 0.5w metal film,
resistor, 820r, 1, 1% 0.5w metal film,
resistor, 1k, 1, 1% 0.5w metal film,
resistor, 3k3, 1, 1% 0.5w metal film,
resistor, 8k2, 1, 1% 0.5w metal film,
resistor, 10k, 3, 1% 0.5w metal film,
resistor, 15k, 1, 1% 0.5w metal film,
resistor, 18k, 1, 1% 0.5w metal film,
resistor, 22k, 1, 1% 0.5w metal film,
resistor, 33k, 3, 1% 0.5w metal film,
resistor, 47k, 3, 1% 0.5w metal film,
resistor, 100k, 6, 1% 0.5w metal film,
resistor, 220k, 2, 1% 0.5w metal film,
resistor, 330k, 1, 1% 0.5w metal film,
resistor, 470k, 1, 1% 0.5w metal film,
resistor, 1m0, 2, 1% 0.5w metal film,
resistor, 2m2, 2, 1% 0.5w metal film,
transistor, bc557b, 3, pnp transistor,
transistor, pn4250, 1, pnp transistor,
transistor, bc547b, 1, npn transistor,
