type, value, quantity, info,
capacitor, 47pf, 1, 5% ceramic,
capacitor, 100nf, 6, 5% ceramic,
capacitor, 10uf, 4, 50v electrolytic,
connector, 8-pin, 2, ic socket,
connector, 14-pin, 1, ic socket,
connector, 16-pin, 1, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
connector, 3-pin pcb SIL interconnect socket, 1,,
connector, 3-pin pcb SIL interconnect header, 1,,
diode, 1n4004, 1,,
chip, rc4558, 2, dual opamp,
chip, cd4093, 1, quad nand schmitt trigger,
chip, cd4520, 1, dual binary up-counter,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, 240r, 1, 1% 0.5w metal film,
resistor, 330r, 1, 1% 0.5w metal film,
resistor, 680r, 1, 1% 0.5w metal film,
resistor, 2k2, 3, 1% 0.5w metal film,
resistor, 33k, 2, 1% 0.5w metal film,
resistor, 47k, 5, 1% 0.5w metal film,
resistor, 51k, 2, 1% 0.5w metal film,
resistor, 110k, 1, 1% 0.5w metal film,
resistor, 121k, 1, 1% 0.5w metal film,
resistor, 249k, 7, 1% 0.5w metal film,
resistor, 499k, 1, 1% 0.5w metal film,
resistor, 1m0, 1, 1% 0.5w metal film,
resistor, 6m8, 1, 1% 0.5w metal film,
transistor, 2n3904, 2, npn transistor,
linear, lm317lz, 1, adjustable positive voltage regulator,
trimpot, 100k, 1, 20tv cermet,
socket, blue banana socket, 3,,
socket, yellow banana socket, 2,,
socket, green banana socket, 1,,
potentiometer, 100k linear, 2,,
hardware, serge 1900h knob, 2,,
